process,pid,rss,full_rss,uss,event,children,time
MainProcess,15812,87_568_384,87_568_384,80_879_616,pipeline.run before preload_injectables,0,2023/01/20 20:22:19.166034
MainProcess,15812,87_838_720,87_838_720,80_879_616,pipeline.run after preload_injectables,0,2023/01/20 20:22:19.181037
MainProcess,15812,87_867_392,87_867_392,80_908_288,pipeline.run_model input_pre_processor start,0,2023/01/20 20:22:19.197032
MainProcess,15812,122_269_696,122_269_696,115_302_400,pipeline.run_model input_pre_processor finished,0,2023/01/20 20:22:19.872096
MainProcess,15812,131_002_368,131_002_368,124_035_072,pipeline.run after input_pre_processor,0,2023/01/20 20:22:20.122040
MainProcess,15812,131_002_368,131_002_368,124_035_072,pipeline.run_model setup_data_structures start,0,2023/01/20 20:22:20.141041
MainProcess,15812,125_628_416,125_628_416,119_140_352,pipeline.run_model setup_data_structures finished,0,2023/01/20 20:22:21.061760
MainProcess,15812,126_410_752,126_410_752,119_537_664,pipeline.run after setup_data_structures,0,2023/01/20 20:22:21.264075
MainProcess,15812,126_504_960,126_504_960,119_537_664,pipeline.run_model initial_seed_balancing start,0,2023/01/20 20:22:21.277071
MainProcess,15812,126_623_744,126_623_744,119_656_448,pipeline.run_model initial_seed_balancing finished,0,2023/01/20 20:22:26.182658
MainProcess,15812,126_627_840,126_627_840,119_660_544,pipeline.run after initial_seed_balancing,0,2023/01/20 20:22:26.235656
MainProcess,15812,126_627_840,126_627_840,119_660_544,pipeline.run_model meta_control_factoring start,0,2023/01/20 20:22:26.250657
MainProcess,15812,126_627_840,126_627_840,119_660_544,pipeline.run_model meta_control_factoring finished,0,2023/01/20 20:22:26.275658
MainProcess,15812,126_631_936,126_631_936,119_664_640,pipeline.run after meta_control_factoring,0,2023/01/20 20:22:26.322657
MainProcess,15812,126_631_936,126_631_936,119_664_640,pipeline.run_model final_seed_balancing start,0,2023/01/20 20:22:26.336659
MainProcess,15812,126_631_936,126_631_936,119_664_640,pipeline.run_model final_seed_balancing finished,0,2023/01/20 20:22:26.360656
MainProcess,15812,126_636_032,126_636_032,119_668_736,pipeline.run after final_seed_balancing,0,2023/01/20 20:22:26.404656
MainProcess,15812,126_636_032,126_636_032,119_668_736,pipeline.run_model integerize_final_seed_weights start,0,2023/01/20 20:22:26.417658
MainProcess,15812,130_412_544,130_412_544,123_666_432,pipeline.run_model integerize_final_seed_weights finished,0,2023/01/20 20:22:27.193662
MainProcess,15812,130_998_272,130_998_272,123_854_848,pipeline.run after integerize_final_seed_weights,0,2023/01/20 20:22:27.243662
MainProcess,15812,131_002_368,131_002_368,123_854_848,pipeline.run_model sub_balancing.geography=TRACT start,0,2023/01/20 20:22:27.256662
MainProcess,15812,138_948_608,138_948_608,132_808_704,pipeline.run_model sub_balancing.geography=TRACT finished,0,2023/01/20 20:23:45.566977
MainProcess,15812,139_055_104,139_055_104,132_919_296,pipeline.run after sub_balancing.geography=TRACT,0,2023/01/20 20:23:45.643978
MainProcess,15812,140_070_912,140_070_912,132_919_296,pipeline.run_model sub_balancing.geography=BG start,0,2023/01/20 20:23:45.656976
MainProcess,15812,148_131_840,148_131_840,141_713_408,pipeline.run_model sub_balancing.geography=BG finished,0,2023/01/20 20:26:11.853666
MainProcess,15812,151_875_584,151_875_584,145_715_200,pipeline.run after sub_balancing.geography=BG,0,2023/01/20 20:26:11.953703
MainProcess,15812,152_883_200,152_883_200,145_715_200,pipeline.run_model expand_households start,0,2023/01/20 20:26:11.966701
MainProcess,15812,153_890_816,153_890_816,147_730_432,pipeline.run_model expand_households finished,0,2023/01/20 20:26:14.702899
MainProcess,15812,162_492_416,162_492_416,155_324_416,pipeline.run after expand_households,0,2023/01/20 20:26:15.101864
MainProcess,15812,162_492_416,162_492_416,155_324_416,pipeline.run_model write_data_dictionary start,0,2023/01/20 20:26:15.114902
MainProcess,15812,156_364_800,156_364_800,150_204_416,pipeline.run_model write_data_dictionary finished,0,2023/01/20 20:26:16.265090
MainProcess,15812,158_420_992,158_420_992,151_252_992,pipeline.run after write_data_dictionary,0,2023/01/20 20:26:16.303090
MainProcess,15812,158_420_992,158_420_992,151_252_992,pipeline.run_model summarize start,0,2023/01/20 20:26:16.318086
MainProcess,15812,158_539_776,158_539_776,151_552_000,pipeline.run_model summarize finished,0,2023/01/20 20:26:18.885565
MainProcess,15812,160_612_352,160_612_352,153_669_632,pipeline.run after summarize,0,2023/01/20 20:26:19.040570
MainProcess,15812,160_837_632,160_837_632,153_669_632,pipeline.run_model write_tables start,0,2023/01/20 20:26:19.053531
MainProcess,15812,162_738_176,162_738_176,155_566_080,pipeline.run_model write_tables finished,0,2023/01/20 20:26:19.389018
MainProcess,15812,162_738_176,162_738_176,155_566_080,pipeline.run after write_tables,0,2023/01/20 20:26:19.447016
MainProcess,15812,162_738_176,162_738_176,155_566_080,pipeline.run_model write_synthetic_population start,0,2023/01/20 20:26:19.464017
MainProcess,15812,159_240_192,159_240_192,153_055_232,pipeline.run_model write_synthetic_population finished,0,2023/01/20 20:26:21.349024
MainProcess,15812,160_223_232,160_223_232,153_055_232,pipeline.run after write_synthetic_population,0,2023/01/20 20:26:21.389028
MainProcess,15812,160_223_232,160_223_232,153_055_232,pipeline.run after run_models,0,2023/01/20 20:26:21.411567
