RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,CIT,COW,ENG,FER,GCL,GCM,GCR,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MIG,MIL,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,ANC,ANC1P,ANC2P,DECADE,DRIVESP,ESP,ESR,HISP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NATIVITY,NOP,OC,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,VPS,WAOB,FAGEP,FANCP,FCITP,FCOWP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,indp02,naicsp02,occp02,socp00,occp10,socp10,indp07,naicsp07,wgtp,employed,soc,OCCP,famTag,dupcount,OSUTAG,n,hhnum
P,2006000000530,1,600,41,1098342,43,35,1,1,,2,2,,,0,20,1,1,2,5,1,5,,,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,11,0,2,0,0,8000,30,1,5,,2,32,22,,1,,1,1,98,55,,,,6,1,,0,3,8000,8000,6,49,600,41,2,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,36,61,45,43,43,39,70,42,42,14,13,72,68,13,47,73,14,44,14,43,38,79,46,35,35,39,69,46,44,13,12,71,57,13,44,70,13,40,74,45,38,15,39,34,43,43,13,41,35,80,73,13,15,75,37,12,76,44,62,48,42,13,39,42,42,44,14,38,40,69,71,14,14,62,53,14,59,40,5070,44611,3410,292050,N.A.,N.A.//,N.A.,N.A.////,42,1,29,2,1,1,0,1,1
P,2006000000530,2,600,41,1098342,46,8,1,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,2,,2,3,2,,2,,,,,,,,2,32,22,,,7,,1,,,,,,,1,7,1,,,,41,49,,,1,1,1,69,0,0,0,0,1,0,1,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,42,65,49,48,46,43,73,47,46,16,15,76,73,15,49,78,17,50,15,44,42,80,51,39,38,44,70,52,50,15,13,80,67,14,46,76,13,45,82,47,45,18,39,39,44,47,15,44,40,89,77,15,17,83,39,13,79,54,69,53,44,13,42,46,46,51,13,40,42,69,79,15,15,73,54,16,63,42,,,,,,,,,42,0,0,999,1,1,0,1,1
P,2006000000530,3,600,41,1098342,45,5,1,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,2,,1,,1,,2,,,,,,,,2,32,22,,,7,,1,,,,,,,1,7,1,,,,41,49,,,2,1,1,69,0,0,0,0,1,0,1,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,41,65,50,48,46,44,73,48,46,16,15,75,73,15,47,77,16,51,14,45,43,80,51,39,38,44,72,52,48,15,13,80,67,14,46,76,15,47,82,47,44,16,39,39,44,45,14,44,41,90,77,15,17,83,39,14,81,53,67,53,46,14,43,46,45,51,13,39,42,71,78,14,15,74,54,17,63,43,,,,,,,,,42,0,0,999,1,1,0,1,1
P,2006000000530,4,600,41,1098342,42,47,1,6,,,2,,,0,5,1,1,2,3,1,5,,,,,,,,,,,,3,5,3,3,3,0,0,10,0,1,,11,4,1,0,0,0,50,1,1,,1,22,999,,1,,1,1,101,61,,,,4,1,,0,,4,4,41,0,600,41,1,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,41,39,66,46,44,40,40,63,44,41,16,12,70,69,14,46,70,16,40,14,41,40,77,48,41,34,38,63,46,45,13,12,72,62,12,40,65,13,40,74,41,40,14,40,34,41,41,14,36,38,81,68,12,15,70,40,12,73,38,64,48,42,11,42,45,45,47,10,41,40,68,68,14,15,62,46,14,59,40,5270,4M,4700,411011,N.A.,N.A.//,N.A.,N.A.////,42,1,41,4,1,1,0,1,1
P,2006000002056,1,600,41,1098342,17,66,1,,,,2,,,8200,,,,2,2,1,4,,,,,,,,,,,,2,3,2,2,2,0,0,0,1600,1,,11,0,2,15000,0,0,,3,,,2,22,50,,,,6,1,,,,,,3,1,,0,4,0,24800,40,260,,,3,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,33,31,18,31,27,19,21,19,19,27,19,33,17,29,30,31,28,18,19,17,5,6,17,6,6,18,15,16,16,6,19,7,19,6,6,5,5,17,15,17,6,5,18,4,4,18,17,18,18,6,16,5,16,7,7,4,4,19,19,18,30,36,17,29,32,19,18,16,18,29,18,30,17,30,34,28,28,18,,,,,,,,,18,0,0,999,0,1,0,1,2
P,2006000005620,1,600,41,1098342,19,57,1,2,,,2,,,850,2,,10,2,1,1,5,,,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,14,0,1,0,0,42000,60,1,1,,1,939,999,,,,1,1,106,67,,,,1,1,,0,,42000,42850,30,501,600,41,1,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,19,30,27,19,7,21,8,35,4,18,7,18,30,31,21,8,15,32,7,6,29,16,19,32,18,36,21,22,18,8,20,8,22,19,8,19,30,16,19,16,17,7,6,19,31,15,36,6,37,19,31,19,6,7,18,34,20,8,31,35,6,20,18,7,18,6,16,21,23,34,22,34,19,18,35,22,4,24,9160,8131,2040,212011,N.A.,N.A.//,N.A.,N.A.////,19,1,21,2,1,1,0,1,3
P,2006000005620,2,600,41,1098342,20,54,1,4,,,2,,,0,95,1,1,2,1,1,5,,,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,16,0,2,0,0,52000,65,1,1,,1,939,999,,1,,1,1,113,55,,,,1,1,,0,4,52000,52000,55,501,2100,53,2,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,20,33,31,20,7,20,7,33,6,17,5,17,30,29,22,7,19,36,7,7,32,17,20,33,18,37,20,23,18,7,22,7,24,20,7,20,32,17,19,18,19,9,6,19,33,19,38,6,37,20,30,20,7,7,18,36,20,8,33,36,5,21,18,8,21,8,18,21,21,34,22,34,20,17,35,25,7,22,7870,611M1,2200,251000,N.A.,N.A.//,N.A.,N.A.////,19,1,25,2,1,1,0,1,3
P,2006000012137,1,600,41,1098342,18,84,1,,,,2,,,50000,,,,2,1,1,5,,,,,,,,,,,,2,5,2,2,3,0,0,0,0,1,,12,0,2,0,8100,0,,3,,,2,87,22,,,,6,1,,,,,,1,1,,0,4,0,58100,30,501,,,2,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,4,19,19,30,10,19,17,6,14,20,6,19,25,15,8,29,27,9,19,20,16,7,36,17,19,27,28,18,7,6,15,33,6,32,19,17,17,18,29,29,6,20,21,26,8,20,19,5,15,20,7,18,20,14,7,31,27,8,16,18,17,6,27,18,19,26,28,19,7,6,17,36,8,34,14,17,19,17,,,,,,,,,18,0,0,999,1,1,0,1,4
P,2006000012137,2,600,41,1098342,18,88,1,7,,,2,,,0,20,1,1,2,1,1,5,,,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,9,0,1,0,18800,19500,12,1,1,,1,924,999,,1,,1,1,86,43,,,,1,1,,0,,19500,38300,48,501,600,41,4,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,28,4,19,16,28,9,16,17,5,15,17,8,20,22,14,7,27,26,8,18,20,16,7,36,15,17,26,25,18,8,6,14,30,6,28,18,16,16,18,25,27,5,18,19,25,7,18,19,6,16,18,8,17,19,13,5,27,27,9,14,18,15,7,26,18,21,24,28,17,6,6,15,33,7,32,13,14,16,17,0180,112,0200,119011,N.A.,N.A.//,N.A.,N.A.////,18,1,11,1,1,1,0,1,4
P,2006000012450,1,600,41,1098342,5,89,1,,,,2,,,0,,,,2,5,1,5,,,,,,,,,,,,2,5,2,2,3,0,0,0,0,1,,11,0,1,0,10000,0,,3,,,2,50,800,,,,6,1,,,,,,6,1,,0,,0,10000,6,104,,,4,1,1,69,0,0,0,0,1,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,8,9,8,4,1,6,6,5,6,9,6,2,1,1,5,6,4,9,6,8,1,3,1,4,8,6,3,6,6,3,4,9,7,9,6,5,4,2,6,6,8,8,7,5,1,6,8,4,4,10,4,1,2,2,4,6,4,9,4,5,1,1,1,4,9,4,2,4,6,3,6,8,8,9,6,5,5,2,,,,,,,,,4,0,0,999,0,1,0,1,5
