"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0000045","25080",22,0,1,"09",68100
"0000092","25060",17,0,3,"05",105530
"0000103","25090",21,0,2,"06",359000
"0000142","25100",25,0,2,"02",141500
"0000157","25100",0,1,1,"  ",0
"0000159","25070",22,0,1,"02",14700
"0000168","25110",16,0,2,"05",161400
"0000388","25060",47,0,0,"09",0
"0000455","25090",0,2,1,"  ",0
"0000457","25110",27,0,4,"02",72600
"0000467","25040",13,0,2,"05",61000
"0000682","25100",24,0,2,"02",92000
"0000688","25100",27,0,3,"07",66450
"0000697","25110",14,0,4,"02",101500
"0000705","25080",0,2,1,"  ",0
"0000715","25090",9,0,0,"05",0
"0000749","25060",16,0,4,"05",38600
"0000833","25050",16,0,2,"02",93700
"0000962","25100",19,0,4,"02",86480
"0001051","25040",19,0,4,"02",81300
"0001177","25120",15,0,0,"02",0
"0001270","25120",22,0,0,"02",0
"0001347","25010",21,0,5,"02",186500
"0001403","25090",24,0,1,"06",30600
"0001419","25130",13,0,3,"04",49400
"0001513","25080",24,0,3,"08",33300
"0001514","25090",30,0,1,"06",90000
"0001535","25060",10,0,1,"02",22400
"0001537","25010",16,0,6,"02",28000
"0001668","25100",24,0,1,"09",9800
"0001791","25030",37,0,6,"02",271800
"0001942","25030",19,0,2,"04",18200
"0001957","25110",24,0,1,"02",30000
"0001990","25070",0,2,1,"  ",0
"0002028","25080",21,0,3,"04",122300
"0002189","25120",18,0,0,"02",0
"0002197","25030",19,0,7,"05",42400
"0002293","25100",35,0,2,"04",90000
"0002295","25060",5,0,3,"02",29000
"0002402","25090",16,0,1,"08",5300
"0002463","25130",16,0,2,"04",23000
"0002583","25060",35,0,2,"02",31000
"0002697","25020",19,0,5,"02",322000
"0002732","25010",5,0,2,"02",62500
"0002873","25040",25,0,0,"02",0
"0002951","25100",16,0,4,"02",260000
"0003058","25030",27,0,1,"02",54000
"0003229","25120",6,0,0,"02",0
"0003271","25060",19,0,3,"02",76300
"0003457","25100",22,0,4,"02",85060
"0003539","25070",24,0,4,"02",63270
"0003696","25090",0,2,1,"  ",0
"0003769","25130",19,0,1,"05",15800
"0003786","25080",21,0,0,"05",0
"0003803","25060",27,0,5,"02",97080
"0003851","25040",21,0,2,"06",30500
"0003913","25040",24,0,1,"08",7500
"0003995","25110",16,0,4,"02",34000
"0004011","25040",24,0,1,"07",48000
"0004077","25080",13,0,5,"06",69000
"0004100","25010",25,0,0,"02",0
"0004230","25040",16,0,2,"06",18000
"0004329","25050",27,0,3,"05",0
"0004366","25120",16,0,4,"02",134340
"0004518","25060",10,0,1,"05",14750
"0004659","25040",19,0,4,"02",95000
"0004663","25020",17,0,1,"02",47700
"0004728","25100",35,0,6,"05",37900
"0004782","25100",0,2,1,"  ",0
"0004836","25030",24,0,1,"04",22600
"0004837","25130",13,0,4,"02",132800
"0004867","25130",24,0,4,"06",97800
"0004976","25030",13,0,1,"06",19100
"0005061","25100",16,0,2,"02",51400
"0005295","25070",19,0,3,"02",77000
"0005304","25060",16,0,2,"02",132040
"0005484","25020",24,0,2,"02",71860
"0005556","25050",30,0,1,"01",48520
"0005695","25050",24,0,1,"09",21600
"0005749","25120",12,0,0,"02",0
"0005779","25060",21,0,2,"02",87260
"0005831","25090",22,0,1,"09",95000
"0005847","25120",12,0,0,"02",0
"0005913","25120",18,0,0,"02",0
"0006024","25040",19,0,1,"06",10800
"0006040","25060",27,0,5,"02",224300
"0006095","25110",21,0,4,"02",246190
"0006103","25080",19,0,2,"03",69900
"0006156","25030",21,0,5,"04",32000
"0006157","25080",22,0,1,"02",57600
"0006189","25030",13,0,2,"05",78700
"0006335","25110",22,0,4,"02",25600
"0006342","25120",35,0,2,"02",18700
"0006456","25030",13,0,5,"02",65800
"0006527","25030",19,0,2,"02",92970
"0006535","25070",24,0,4,"04",19000
"0006555","25070",27,0,2,"02",57740
"0006579","25110",18,0,4,"04",11800
"0006641","25080",16,0,1,"03",70000
"0006753","25060",21,0,1,"05",40000
"0006757","25050",16,0,4,"02",109890
"0006881","25010",41,0,3,"07",35000
"0006996","25030",24,0,3,"05",19000
"0007045","25050",13,0,2,"02",70000
"0007123","25070",24,0,1,"02",12930
"0007140","25090",16,0,2,"04",75000
"0007189","25010",16,0,1,"02",24800
"0007273","25110",38,0,6,"02",89800
"0007337","25090",0,2,1,"  ",0
"0007354","25120",24,0,2,"02",21400
"0007362","25090",0,2,1,"  ",0
"0007405","25120",21,0,4,"02",34900
"0007445","25060",24,0,4,"05",12000
"0007646","25120",13,0,2,"02",68160
"0007712","25120",19,0,3,"02",140300
"0007778","25100",18,0,4,"02",196100
"0007789","25060",19,0,1,"06",0
"0007818","25040",16,0,1,"04",96900
"0007826","25120",19,0,1,"06",10000
"0007849","25120",16,0,1,"06",10000
"0007866","25120",34,0,0,"02",0
"0007901","25120",19,0,4,"02",90000
"0007978","25040",30,0,1,"07",77000
"0008026","25120",19,0,0,"02",0
"0008103","25100",24,0,4,"02",1e+05
"0008122","25020",19,0,1,"05",28000
"0008367","25030",22,0,4,"05",44500
"0008410","25030",11,0,1,"03",80280
"0008424","25100",22,0,4,"02",66000
"0008428","25090",0,2,1,"  ",0
"0008432","25090",19,0,4,"05",29300
"0008438","25090",16,0,4,"06",109000
"0008499","25030",21,0,2,"02",46600
"0008633","25130",19,0,4,"04",45000
"0008745","25100",24,0,5,"02",324400
"0008835","25130",27,0,1,"06",10900
"0009189","25120",19,0,1,"02",34000
"0009204","25050",22,0,1,"02",45000
"0009309","25110",21,0,3,"02",81360
"0009375","25110",24,0,3,"02",134000
"0009391","25090",32,0,5,"05",41200
"0009394","25020",24,0,2,"04",29800
"0009441","25040",16,0,2,"02",70000
"0009443","25030",21,0,1,"05",32500
"0009495","25030",22,0,2,"02",33200
"0009508","25070",14,0,1,"04",32000
"0009542","25090",19,0,1,"05",6700
"0009553","25120",16,0,1,"02",40000
"0009685","25010",16,0,1,"02",1300
"0009687","25020",24,0,2,"02",59400
"0009796","25090",24,0,1,"05",40500
"0009882","25030",0,1,1,"  ",0
"0009890","25040",0,1,1,"  ",0
"0010092","25120",27,0,2,"02",104300
"0010141","25120",6,0,5,"02",266000
"0010154","25080",24,0,1,"04",35914
"0010193","25030",24,0,1,"09",39020
"0010318","25090",27,0,1,"08",6800
"0010335","25010",6,0,2,"02",121700
"0010595","25080",16,0,2,"05",83000
"0010647","25110",22,0,2,"01",18490
"0010707","25040",19,0,4,"02",36700
"0010867","25120",14,0,1,"04",19000
"0011012","25060",5,0,3,"02",144300
"0011018","25020",21,0,3,"03",25000
"0011020","25130",16,0,5,"06",20800
"0011116","25080",27,0,2,"06",111000
"0011126","25110",13,0,5,"02",87800
"0011211","25090",19,0,1,"08",55000
"0011343","25090",24,0,1,"06",2900
"0011364","25080",21,0,1,"05",55600
"0011368","25020",0,1,1,"  ",0
"0011397","25110",13,0,2,"06",42000
"0011416","25060",22,0,2,"04",75050
"0011466","25110",16,0,2,"04",38400
"0011480","25020",24,0,2,"02",70000
"0011500","25040",16,0,1,"02",39320
"0011659","25020",32,0,1,"09",62000
"0011689","25090",22,0,0,"02",0
"0011821","25060",24,0,3,"04",87420
"0011843","25040",30,0,2,"02",162000
"0011917","25090",16,0,1,"08",5000
"0011938","25120",16,0,1,"04",7800
"0011970","25080",10,0,3,"05",83700
"0012021","25100",32,0,2,"09",77840
"0012078","25090",13,0,6,"05",102500
"0012084","25010",0,2,1,"  ",0
"0012114","25060",13,0,1,"07",19500
"0012168","25090",0,2,1,"  ",0
"0012171","25040",21,0,3,"02",135400
"0012257","25060",18,0,1,"02",61000
"0012314","25010",5,0,1,"02",21930
"0012315","25070",18,0,1,"02",43200
"0012378","25080",24,0,1,"07",50980
"0012432","25050",26,0,1,"02",25000
"0012558","25080",32,0,2,"05",19100
"0012632","25030",19,0,5,"02",52600
"0012815","25130",18,0,2,"02",43000
"0012819","25010",6,0,3,"02",57000
"0012893","25070",24,0,1,"04",35000
"0013049","25090",19,0,3,"02",64710
"0013121","25090",38,0,6,"04",379700
"0013248","25040",18,0,1,"05",32000
"0013262","25040",16,0,3,"02",244500
"0013266","25020",29,0,4,"06",0
"0013443","25120",21,0,1,"02",27000
"0013502","25120",37,0,7,"02",50600
"0013539","25060",16,0,4,"02",76600
"0013600","25100",52,0,0,"02",0
"0014042","25010",24,0,1,"09",14400
"0014087","25100",0,2,1,"  ",0
"0014144","25050",18,0,2,"09",36000
"0014277","25120",24,0,2,"02",29500
"0014308","25090",24,0,2,"05",56600
"0014435","25050",16,0,3,"02",39000
"0014475","25110",13,0,4,"02",58000
"0014549","25060",22,0,2,"02",51170
"0014567","25120",26,0,1,"02",5000
"0014814","25010",8,0,3,"02",72000
"0014975","25060",18,0,3,"02",81300
"0015067","25110",19,0,4,"02",119970
"0015099","25110",13,0,5,"02",90000
"0015217","25100",19,0,4,"02",156800
"0015282","25030",18,0,1,"02",48300
"0015318","25130",0,2,1,"  ",0
"0015383","25030",19,0,4,"02",83420
"0015421","25060",18,0,1,"09",14620
"0015458","25020",19,0,2,"02",112250
"0015493","25050",37,0,2,"07",21300
"0015510","25020",18,0,3,"05",50600
"0015558","25020",25,0,1,"02",13000
"0015665","25040",0,2,1,"  ",0
"0015738","25090",0,2,1,"  ",0
"0015854","25050",19,0,3,"03",28800
"0016096","25080",19,0,3,"02",96400
"0016118","25110",19,0,3,"02",66600
"0016142","25110",16,0,5,"02",67400
"0016232","25120",5,0,2,"02",37400
"0016323","25030",19,0,3,"03",57470
"0016371","25110",22,0,2,"05",62000
"0016412","25020",22,0,2,"02",51620
"0016431","25130",11,0,4,"05",57700
"0016463","25020",13,0,2,"02",21590
"0016483","25030",35,0,1,"09",0
"0016494","25030",19,0,3,"02",31700
"0016565","25100",21,0,7,"02",66600
"0016651","25070",30,0,4,"02",71100
"0016657","25120",13,0,0,"02",0
"0016683","25120",16,0,2,"02",25500
"0016719","25100",27,0,4,"02",102000
"0016745","25050",19,0,3,"02",8300
"0016786","25050",22,0,5,"02",78000
"0016807","25010",22,0,1,"08",9520
"0016886","25020",18,0,1,"02",45500
"0016961","25100",25,0,4,"02",70000
"0017054","25060",0,2,1,"  ",0
"0017268","25080",16,0,1,"04",60000
"0017270","25010",6,0,0,"02",0
"0017330","25020",16,0,4,"02",225000
"0017342","25050",19,0,6,"02",223100
"0017434","25030",26,0,1,"02",60000
"0017629","25030",0,2,1,"  ",0
"0017633","25010",11,0,2,"02",138400
"0017667","25020",34,0,4,"02",53700
"0017840","25050",16,0,1,"04",13700
"0017849","25080",19,0,2,"04",4400
"0018002","25030",0,1,1,"  ",0
"0018092","25010",16,0,2,"02",35004
"0018149","25130",13,0,3,"02",28350
"0018265","25040",19,0,4,"06",57800
"0018307","25060",24,0,4,"06",28500
"0018389","25050",0,2,1,"  ",0
"0018393","25090",16,0,3,"07",11700
"0018434","25010",3,0,1,"02",25000
"0018466","25090",21,0,3,"05",22300
"0018546","25010",27,0,1,"02",27100
"0018661","25020",21,0,2,"02",183300
"0018728","25070",22,0,2,"02",41500
"0018840","25040",19,0,3,"02",20200
"0018848","25040",21,0,1,"05",50000
"0018869","25060",19,0,2,"02",25860
"0018892","25130",24,0,1,"05",7000
"0019037","25050",11,0,6,"02",63100
"0019063","25130",13,0,3,"02",82000
"0019116","25120",24,0,1,"01",18330
"0019118","25120",22,0,2,"02",89210
"0019121","25120",19,0,3,"02",89500
"0019167","25110",18,0,4,"06",114370
"0019212","25030",14,0,5,"02",111000
"0019233","25030",19,0,1,"09",8600
"0019249","25060",8,0,4,"02",73140
"0019260","25120",13,0,5,"02",94530
"0019331","25130",19,0,5,"02",35000
"0019367","25090",18,0,4,"04",15000
"0019396","25080",26,0,2,"05",43200
"0019439","25070",16,0,4,"02",52190
"0019620","25050",25,0,4,"02",204000
"0019664","25100",14,0,2,"02",2e+05
"0019674","25010",19,0,2,"07",29800
"0019757","25060",21,0,1,"09",7200
"0020084","25030",27,0,2,"06",48100
