SERIALNO,AGE,WRKLYR,INCTOT
2006000001773,26,1,15303.39912
2006000001773,2,0,-15279.71438
2006000001773,23,1,3438.10764
2006000003034,38,1,45841.4352
2006000003034,37,1,76402.392
2006000003034,10,0,NA
2006000003034,7,0,-15279.71438
2006000003183,75,2,27199.25155
2006000003183,65,2,7640.2392
2006000003339,32,1,39729.24384
2006000003339,32,2,0
2006000004863,48,1,39729.24384
2006000004863,45,1,25976.81328
2006000004863,9,0,-15279.71438
2006000008922,50,1,34381.0764
2006000009585,78,2,12461.23014
2006000009585,78,2,8251.458336
2006000014170,75,2,30560.9568
2006000014170,44,1,19100.598
2006000014170,42,1,9626.701392
2006000015445,64,2,20093.8291
2006000015445,62,2,2292.07176
2006000015871,64,2,15051.27122
2006000020419,63,1,19635.41474
2006000021443,53,1,47369.48304
2006000024879,53,1,29185.71374
2006000024879,50,1,649.420332
2006000032363,25,1,53481.6744
2006000033881,35,1,24563.36903
2006000033881,31,1,28268.88504
2006000039118,19,1,6112.19136
2006000039118,39,1,1375.243056
2006000043235,58,1,16128.54495
2006000045349,37,2,0
2006000045349,35,1,23707.66224
2006000050393,39,1,26740.8372
2006000050393,36,1,24448.76544
2006000050393,13,0,NA
2006000050393,3,0,-15279.71438
2006000057464,41,2,3285.302856
2006000057464,35,2,4999.772532
2006000057988,64,1,21087.06019
2006000057988,63,1,28498.09222
2006000060971,57,1,34381.0764
2006000060971,67,1,26740.8372
2006000064970,41,2,8633.470296
2006000064970,40,1,18030.96451
2006000064970,13,0,NA
2006000067898,38,1,31706.99268
2006000067898,70,2,7181.824848
2006000067898,35,1,24830.7774
2006000067898,32,1,19864.62192
2006000069211,41,2,6264.996144
2006000069211,15,0,3896.521992
2006000069211,12,0,NA
2006000069847,47,1,32089.00464
2006000069847,50,1,29032.90896
2006000071677,81,2,21316.26737
2006000071677,78,2,10696.33488
2006000073442,44,1,25212.78936
2006000073503,48,1,45841.4352
2006000073503,35,2,0
2006000077976,53,1,40493.26776
2006000078033,34,1,64178.00928
2006000078033,7,0,-15279.71438
2006000085117,33,1,40493.26776
2006000087127,28,1,12224.38272
2006000087127,30,1,23531.93674
2006000087127,4,0,-15279.71438
2006000089567,17,1,1146.03588
2006000094577,40,1,48133.50696
2006000094577,43,1,21392.66976
2006000094577,12,0,NA
2006000094577,9,0,-15279.71438
2006000095002,63,1,50425.57872
2006000096385,76,2,30408.15202
2006000104316,28,1,63413.98536
2006000104316,29,1,13752.43056
2006000104707,45,1,61121.9136
2006000104707,13,0,NA
2006000104707,10,0,NA
2006000108417,53,1,38201.196
2006000108417,53,1,38201.196
2006000109675,54,1,49661.5548
2006000109675,50,1,22156.69368
2006000114109,46,1,22920.7176
2006000114109,46,1,22920.7176
2006000114109,15,0,916.828704
2006000114109,13,0,NA
2006000117669,36,1,61121.9136
2006000117669,7,0,-15279.71438
2006000117669,4,0,-15279.71438
2006000120053,51,1,61580.32795
2006000120053,42,2,0
2006000123681,54,1,48133.50696
2006000123681,23,1,9091.884648
2006000130975,29,1,26740.8372
2006000130975,29,2,0
2006000130975,4,0,-15279.71438
2006000130975,0,0,NA
2006000131265,55,1,30560.9568
2006000131265,62,1,15280.4784
2006000131639,56,1,58065.81792
2006000131639,43,2,5271.765048
2006000132888,65,2,32700.22378
2006000132888,67,2,37589.97686
2006000134066,34,1,26740.8372
2006000134066,32,1,22156.69368
2006000134066,5,0,-15279.71438
2006000134066,5,0,-15279.71438
2006000135585,43,1,22847.3713
2006000136334,40,2,3972.924384
2006000136334,17,2,0
2006000136334,6,0,-15279.71438
2006000137822,45,2,76.402392
2006000137822,45,1,85570.67904
2006000138806,94,2,11307.55402
2006000138806,43,1,1757.255016
2006000138806,21,1,11918.77315
2006000138806,14,0,NA
2006000138940,56,1,73651.90589
2006000138940,25,1,19100.598
2006000138940,9,0,-15279.71438
2006000140019,67,1,4125.729168
2006000140427,55,1,33617.05248
2006000142791,26,1,38201.196
2006000142791,28,1,22920.7176
2006000150787,25,1,23684.74152
2006000150787,5,0,-15279.71438
2006000150787,2,0,-15279.71438
2006000155659,94,2,7258.22724
