Geo,Year,AutoMeanAge,LtTrkMeanAge
Barnstable,2015,11.5,11.5
Berkshire,2015,11.5,11.5
Bristol,2015,11.5,11.5
Dukes,2015,11.5,11.5
Essex,2015,11.5,11.5
Franklin,2015,11.5,11.5
Hampden,2015,11.5,11.5
Hampshire,2015,11.5,11.5
Middlesex,2015,11.5,11.5
Nantucket,2015,11.5,11.5
Norfolk,2015,11.5,11.5
Plymouth,2015,11.5,11.5
Suffolk,2015,11.5,11.5
Worcester,2015,11.5,11.5
BarnOutofState,2015,11.5,11.5
BerkOutofState,2015,11.5,11.5
Bos3OutofState,2015,11.5,11.5
Bos2OutofState,2015,11.5,11.5
HampOutofState,2015,11.5,11.5
Bos1OutofState,2015,11.5,11.5
WorcOutofState,2015,11.5,11.5
Barnstable,2025,11.75,11.75
Berkshire,2025,11.75,11.75
Bristol,2025,11.75,11.75
Dukes,2025,11.75,11.75
Essex,2025,11.75,11.75
Franklin,2025,11.75,11.75
Hampden,2025,11.75,11.75
Hampshire,2025,11.75,11.75
Middlesex,2025,11.75,11.75
Nantucket,2025,11.75,11.75
Norfolk,2025,11.75,11.75
Plymouth,2025,11.75,11.75
Suffolk,2025,11.75,11.75
Worcester,2025,11.75,11.75
BarnOutofState,2025,11.75,11.75
BerkOutofState,2025,11.75,11.75
Bos3OutofState,2025,11.75,11.75
Bos2OutofState,2025,11.75,11.75
HampOutofState,2025,11.75,11.75
Bos1OutofState,2025,11.75,11.75
WorcOutofState,2025,11.75,11.75
Barnstable,2050,12,12
Berkshire,2050,12,12
Bristol,2050,12,12
Dukes,2050,12,12
Essex,2050,12,12
Franklin,2050,12,12
Hampden,2050,12,12
Hampshire,2050,12,12
Middlesex,2050,12,12
Nantucket,2050,12,12
Norfolk,2050,12,12
Plymouth,2050,12,12
Suffolk,2050,12,12
Worcester,2050,12,12
BarnOutofState,2050,12,12
BerkOutofState,2050,12,12
Bos3OutofState,2050,12,12
Bos2OutofState,2050,12,12
HampOutofState,2050,12,12
Bos1OutofState,2050,12,12
WorcOutofState,2050,12,12
