Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Barnstable,2015,5,10,45
Berkshire,2015,5,10,45
Bristol,2015,5,10,45
Dukes,2015,5,10,45
Essex,2015,5,10,45
Franklin,2015,5,10,45
Hampden,2015,5,10,45
Hampshire,2015,5,10,45
Middlesex,2015,5,10,45
Nantucket,2015,5,10,45
Norfolk,2015,5,10,45
Plymouth,2015,5,10,45
Suffolk,2015,5,10,45
Worcester,2015,5,10,45
BarnOutofState,2015,5,10,45
BerkOutofState,2015,5,10,45
Bos3OutofState,2015,5,10,45
Bos2OutofState,2015,5,10,45
HampOutofState,2015,5,10,45
Bos1OutofState,2015,5,10,45
WorcOutofState,2015,5,10,45
Barnstable,2025,5,10,45
Berkshire,2025,5,10,45
Bristol,2025,5,10,45
Dukes,2025,5,10,45
Essex,2025,5,10,45
Franklin,2025,5,10,45
Hampden,2025,5,10,45
Hampshire,2025,5,10,45
Middlesex,2025,5,10,45
Nantucket,2025,5,10,45
Norfolk,2025,5,10,45
Plymouth,2025,5,10,45
Suffolk,2025,5,10,45
Worcester,2025,5,10,45
BarnOutofState,2025,5,10,45
BerkOutofState,2025,5,10,45
Bos3OutofState,2025,5,10,45
Bos2OutofState,2025,5,10,45
HampOutofState,2025,5,10,45
Bos1OutofState,2025,5,10,45
WorcOutofState,2025,5,10,45
Barnstable,2050,5,10,45
Berkshire,2050,5,10,45
Bristol,2050,5,10,45
Dukes,2050,5,10,45
Essex,2050,5,10,45
Franklin,2050,5,10,45
Hampden,2050,5,10,45
Hampshire,2050,5,10,45
Middlesex,2050,5,10,45
Nantucket,2050,5,10,45
Norfolk,2050,5,10,45
Plymouth,2050,5,10,45
Suffolk,2050,5,10,45
Worcester,2050,5,10,45
BarnOutofState,2050,5,10,45
BerkOutofState,2050,5,10,45
Bos3OutofState,2050,5,10,45
Bos2OutofState,2050,5,10,45
HampOutofState,2050,5,10,45
Bos1OutofState,2050,5,10,45
WorcOutofState,2050,5,10,45
