"Geo","Year","AutoMeanAge","LtTrkMeanAge"
"Barnstable",2015,11.5,11.5
"Berkshire",2015,11.5,11.5
"Bristol",2015,11.5,11.5
"Dukes",2015,11.5,11.5
"Essex",2015,11.5,11.5
"Franklin",2015,11.5,11.5
"Hampden",2015,11.5,11.5
"Hampshire",2015,11.5,11.5
"Middlesex",2015,11.5,11.5
"Nantucket",2015,11.5,11.5
"Norfolk",2015,11.5,11.5
"Plymouth",2015,11.5,11.5
"Suffolk",2015,11.5,11.5
"Worcester",2015,11.5,11.5
"Barnstable",2050,12,12
"Berkshire",2050,12,12
"Bristol",2050,12,12
"Dukes",2050,12,12
"Essex",2050,12,12
"Franklin",2050,12,12
"Hampden",2050,12,12
"Hampshire",2050,12,12
"Middlesex",2050,12,12
"Nantucket",2050,12,12
"Norfolk",2050,12,12
"Plymouth",2050,12,12
"Suffolk",2050,12,12
"Worcester",2050,12,12
