Geo,Year,VanPropDiesel,VanPropGasoline,VanPropCng,BusPropGasoline,BusPropDiesel,BusPropCng,RailPropGasoline,RailPropDiesel
Barn,2015,1.00,0.00,0.00,0.21,0.79,0.00,0.00,1.00
Berk,2015,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
Bos1,2015,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
Bos2,2015,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
Bos3,2015,1.00,0.00,0.00,0.90,0.01,0.09,0.00,1.00
Hamp,2015,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
None,2015,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
Worc,2015,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
Barn,2050,1.00,0.00,0.00,0.21,0.79,0.00,0.00,1.00
Berk,2050,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
Bos1,2050,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
Bos2,2050,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
Bos3,2050,1.00,0.00,0.00,0.90,0.01,0.09,0.00,1.00
Hamp,2050,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
None,2050,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
Worc,2050,1.00,0.00,0.00,0.67,0.00,0.33,0.00,1.00
