Geo,Year,PropMetroHh,PropTownHh,PropRuralHh
Barnstable,2015,0.910569369,0.014600163,0.074830468
Berkshire,2015,0.450574993,0.233487528,0.315937479
Bristol,2015,0.901656985,0,0.098343015
Dukes,2015,0,0.609736922,0.390263078
Essex,2015,0.957559553,0,0.042440447
Franklin,2015,0,0.455682901,0.544317099
Hampden,2015,0.91429157,0,0.08570843
Hampshire,2015,0.68208502,0.043477986,0.274436994
Middlesex,2015,0.969722936,0,0.030277064
Nantucket,2015,0,0.811049941,0.188950059
Norfolk,2015,0.987596333,0,0.012403667
Plymouth,2015,0.896922527,0,0.103077473
Suffolk,2015,1,0,0
Worcester,2015,0.793843106,0.02225403,0.183902864
Barnstable,2050,0.910872815,0.014564453,0.074562732
Berkshire,2050,0.455158378,0.233025939,0.311815682
Bristol,2050,0.905220027,0,0.094779973
Dukes,2050,0,0.619397621,0.380602379
Essex,2050,0.959835021,0,0.040164979
Franklin,2050,0,0.462530959,0.537469041
Hampden,2050,0.917397682,0,0.082602318
Hampshire,2050,0.69202029,0.043122379,0.264857331
Middlesex,2050,0.971372324,0,0.028627676
Nantucket,2050,0,0.814802259,0.185197741
Norfolk,2050,0.988285903,0,0.011714097
Plymouth,2050,0.902109764,0,0.097890236
Suffolk,2050,1,0,0
Worcester,2050,0.80310174,0.021902248,0.174996013
