Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Barnstable,2015,26990,10772,20731,57662,37251,61215
Berkshire,2015,17900,8259,15275,38350,20322,27579
Bristol,2015,95364,36069,73510,187479,75461,89100
Dukes,2015,2577,853,1710,5565,2903,3609
Essex,2015,138575,51825,99143,254870,107929,123761
Franklin,2015,10267,3756,8219,22429,12444,13435
Hampden,2015,84754,34093,67387,147068,62926,72852
Hampshire,2015,19569,18031,33415,43797,21525,24711
Middlesex,2015,265357,102591,230863,554472,200640,226017
Nantucket,2015,1935,518,1252,4188,1422,1543
Norfolk,2015,121911,45084,86117,236116,94402,111261
Plymouth,2015,91169,34637,58244,166860,73389,85559
Suffolk,2015,112390,53386,178559,266087,79690,86578
Worcester,2015,144955,57719,108767,276635,112216,118418
Barnstable,2050,18806,6427,12628,37154,19297,54191
Berkshire,2050,15495,6023,13556,35417,14524,38924
Bristol,2050,75656,27557,62648,183454,67693,127138
Dukes,2050,2539,836,1642,5738,2485,5532
Essex,2050,131147,45578,86512,278238,105100,218292
Franklin,2050,6465,2486,5774,17342,8416,21949
Hampden,2050,77550,34622,60403,153085,62808,115547
Hampshire,2050,16492,16605,29470,43159,19914,43555
Middlesex,2050,241355,86913,202475,580290,207703,377081
Nantucket,2050,2464,562,1911,3278,1278,2364
Norfolk,2050,114837,38110,78234,260990,94227,180201
Plymouth,2050,90457,31415,55343,176082,64711,152047
Suffolk,2050,150086,66656,193461,350344,115132,164520
Worcester,2050,129981,52627,97335,281097,109244,220251
